Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2981128,2024-07-28T00:00:00Z,New York,Rochester,1 Maplewood Dr,2,5,0,0,0
2980166,2024-07-27T00:00:00Z,Texas,Dallas,6008 S R L Thornton Fwy,1,4,0,0,1
2978744,2024-07-25T00:00:00Z,Louisiana,Jeanerette,2519 Martin Luther King Dr,1,3,0,1,1
2977073,2024-07-23T00:00:00Z,South Carolina,Burton,County Shed Road and Jennings Road,0,4,0,0,0
2974973,2024-07-22T00:00:00Z,Wisconsin,Milwaukee,6901 W Vienna Avenue,1,8,0,0,1
2974593,2024-07-21T00:00:00Z,Mississippi,Indianola,200 Church Avenue,1,15,2,0,0
2974777,2024-07-21T00:00:00Z,Indiana,Anderson,2200 Arrow Avenue,0,7,0,1,6
2974135,2024-07-21T00:00:00Z,Pennsylvania,Philadelphia,2100 N Alden Street,3,5,0,1,1
2974697,2024-07-21T00:00:00Z,Mississippi,Jackson,2899 McDowell Road Ext,2,4,0,0,0
2973281,2024-07-20T00:00:00Z,California,Vista,Civic Center Dr,1,3,0,0,0
2971655,2024-07-18T00:00:00Z,District of Columbia,Washington,22nd Street and Alabama Avenue Southeast,2,2,0,0,0
2972255,2024-07-18T00:00:00Z,Alabama,West Blocton,1073 Greentree Dr,5,0,0,0,1
2971382,2024-07-18T00:00:00Z,California,Los Angeles,Wilshire Blvd and S Alvarado Street,0,4,0,0,3
2969835,2024-07-15T00:00:00Z,Minnesota,Minneapolis,16th Avenue S and E Franklin Avenue,1,5,0,0,0
2969569,2024-07-15T00:00:00Z,Texas,Orange,200 Morrell Blvd,0,4,0,0,0
2968565,2024-07-14T00:00:00Z,Indiana,Indianapolis,3340 Teakwood Dr,0,5,0,0,0
2967936,2024-07-14T00:00:00Z,Illinois,Chicago,9500 S Merrill Avenue,0,4,0,0,0
2967889,2024-07-13T00:00:00Z,Alabama,Birmingham,3427 27th Street N,4,10,0,0,0
2967459,2024-07-13T00:00:00Z,Pennsylvania,Butler,625 Evans City Road,1,3,1,0,0
2968616,2024-07-13T00:00:00Z,Connecticut,New Haven,Ivy Street and Shelton Avenue,0,4,0,0,0
2967464,2024-07-12T00:00:00Z,Kentucky,Louisville,900 Esquire Alley,0,5,0,0,0
2967371,2024-07-12T00:00:00Z,Kansas,Wichita,4800 S Gordon Street,1,4,0,0,0
2966300,2024-07-12T00:00:00Z,Illinois,Chicago,1300 S Lawndale Avenue,0,5,0,0,0
2965650,2024-07-11T00:00:00Z,Kansas,Wichita,2300 E Murdock Street,0,4,0,0,1
2965394,2024-07-10T00:00:00Z,California,Alameda,417 Kitty Hawk Road,5,0,0,0,1
2965207,2024-07-10T00:00:00Z,Massachusetts,Boston,10 Greenwood Street,0,5,0,0,2
2963309,2024-07-08T00:00:00Z,District of Columbia,Washington,1200 Potomac Avenue Southeast,0,4,0,0,0
2962488,2024-07-08T00:00:00Z,Massachusetts,New Bedford,Russell Street and Acushnet Avenue,0,6,0,0,0
2963285,2024-07-08T00:00:00Z,North Carolina,Charlotte,1523 Parker Dr,1,3,0,0,0
2963980,2024-07-08T00:00:00Z,Florida,Fort Lauderdale,700 Northwest 10th Terrace,2,3,0,0,0
2961716,2024-07-07T00:00:00Z,Michigan,Detroit,Reno Street and Rossini Dr,2,19,0,1,0
2963018,2024-07-07T00:00:00Z,North Carolina,Roper,12256 NC-32,1,3,0,0,0
2962371,2024-07-06T00:00:00Z,Ohio,Akron,800 Morningview Avenue,0,4,0,0,1
2961005,2024-07-06T00:00:00Z,Wisconsin,Milwaukee,Doctor Martin Luther King Jr Dr and 6th Street,0,4,0,0,0
2960811,2024-07-06T00:00:00Z,Kentucky,Florence,2673 Ridgecrest Dr,4,3,1,0,0
2967044,2024-07-05T00:00:00Z,Mississippi,Clarksdale,300 Madison Avenue,1,3,0,0,0
2960205,2024-07-05T00:00:00Z,New York,Poughkeepsie,Main Street and S Hamilton Street,0,4,0,0,0
2960079,2024-07-05T00:00:00Z,Georgia,Albany,312 Thornton Dr,1,3,0,0,2
2960126,2024-07-05T00:00:00Z,Michigan,Pontiac,300 S Jessie Street,0,5,0,0,0
2959241,2024-07-05T00:00:00Z,Illinois,Chicago,1300 W Hastings Street,0,8,0,0,0
2959290,2024-07-05T00:00:00Z,Illinois,Chicago,100 S Menard Avenue,1,6,0,0,0
2959377,2024-07-05T00:00:00Z,New York,Albany,Myrtle Avenue and Quail Street,0,6,0,0,0
2959329,2024-07-05T00:00:00Z,Florida,Tampa,10924 N Nebraska Avenue,0,4,0,0,1
2958345,2024-07-04T00:00:00Z,Illinois,Chicago,7100 S Woodlawn Avenue,3,2,0,0,0
2960159,2024-07-04T00:00:00Z,Tennessee,Nashville,200 1st Avenue S,0,4,0,0,0
2960026,2024-07-04T00:00:00Z,Texas,Fort Worth,3700 Castleman Street,2,2,0,0,1
2959184,2024-07-04T00:00:00Z,Pennsylvania,Philadelphia,1900 Salford Street,1,8,0,0,0
2960055,2024-07-04T00:00:00Z,Texas,Fort Worth,7524 W Cleburne Road,3,2,0,1,1
2959928,2024-07-04T00:00:00Z,Missouri,Saint Louis,1200 Lakeview Dr,1,5,0,0,0
2959943,2024-07-04T00:00:00Z,Missouri,Saint Louis,8th Street and Pine Street,0,7,0,0,0
2959734,2024-07-04T00:00:00Z,Mississippi,Ocean Springs,Cumberland Road,0,16,0,0,1
